textid	Language	text	target
5984	en	"All I want is the best for our lives, my dear
And you know my wishes are sincere
What's to say for the days I cannot bare
A Sunday smile, you wore it for a while
A cemetery mile, we paused and sang
A Sunday smile, you wore it for a while
A Sunday smile, and we felt true
We burnt to the ground left a view to admire
Buildings inside church of white
We burnt to the ground left a grave to admire
And as we reach for the sky, reach the church of white
A Sunday smile, you wore it for a while
A cemetery mile, we paused and sang
A Sunday smile, you wore it for a while
A Sunday smile, and we felt true
A Sunday smile, you wore it for a while
A cemetery mile, we paused and sang
A Sunday smile, you wore it for a while
A Sunday smile, and we felt true
A Sunday smile, you wore it for a while
A cemetery mile, we paused and sang
A Sunday smile, you wore it for a while
A Sunday smile, and we felt true"	Pop
6565	en	"As I travel down life's pathway,
Know not what the years may hold.
As I ponder, hopes grow fonder,
Precious memories flood my soul
Precious father, loving mother,
Glide across the lonely years.
And old homes scenes of my childhood
In fond memory appears.
Precious memories, how they linger
How they ever flood my soul.
In the stillness of the midnight,
Precious sacred scenes unfold.."	Rock
7804	en	"Well, the river runs through this valley
Combing deep and black [?]
Coming like a tombstone's
Shadows across my back
Trouble River
Six foot high and risin'
Trouble River
I can't keep from cryin'
Woke up last night a'shakin'
Shakin' from a dream
All I seen was smilin' faces
Starin' back at me
Trouble River
Six foot high and risin'
Trouble River
I can't keep from cryin'
Snakes crawling in the house
I'm stuck in muddy ground
Tonight I'm gonna shed this skin
Cause water's risin' and I goin' down to
Trouble River
Six foot high and risin'
Trouble River
I can't keep from cryin'."	Rock
6943	en	"They say that to really free your body
You've gotta free your mind
So come on
Check this out
Lay your hands on me! (6x)
Come on! Huh!
If you're ready, I'm willing and able
Help me lay my cards out on the table
You're mine and I'm yours for the taking
Right now the rules we made are meant for breaking
What you get ain't always what you see
But satisfaction is guaranteed
They say what you give is always what you need
So if you want me to lay my hands on you
Lay your hands on me! (6x)
Now listen up!
I'm a fighter, I'm a poet, I'm a preacher
I've been to school and baby, I've been the teacher
If you show me how to get up off the ground
I can show you how to fly and never ever come back down
Everything you want is what I need
Satisfaction is guaranteed
But the ride don't never ever come for free (No, no, no, no, no)
If you want me to lay my hands on you
Lay your hands on me! (6x)
Oh oh oh baby
Don't you know I only aim to please
If you want me to lay my hands on you
Lay your hands on me!
Lay your hands on me!
Lay your hands on me! (What you gotta do is)
Lay your hands on me! (Lay 'em on me)
Lay your hands on me! (Well come on, come on, come on)
Lay your hands on me! (Yeah everybody gonna help me now)
Lay your hands on me! (I can feel the people sing)
Lay your hands on me! (I can hear my heart sing)
Lay your hands on me! (If you wanna lay 'em on baby, come on now)
Oh oh oh oh oh!
Oh oh oh oh oh!
Lay your hands on me! (If you want me to yeah)
Oh oh oh oh oh! (All you gotta do)
Oh oh oh oh oh!
Lay your hands on me! (And I'll lay 'em back)
Lay your hands on me! (Wanna lay you down)
Lay your hands on me! (Gonna turn around now)
Lay your hands on me! (Lay, lay, lay, lay yeah)
Lay your hands on me!
Lay your hands on me! (Yeah)
Lay your hands on me!"	Rock
2136	en	"You look like you'd fit in the trunk of my car
I might let you live, I might go too far
I could wrap you up and take you home
We'd be all alone
Or should I let you be the one that got away
Knew it would happen but I didn`t know it'd be
today
All the voices in my head always seem insane
The one that got away, away, away, today
Keep it down don't talk, I have to think
I could let you walk, I could feed the sink
I could grind you up and disappear
like you were never here
Should I let you be the one that got away
Knew it would happen but I didn`t know it'd be
today
All the voices in my head always seem insane
The one that got away
Voiceover:
Spider: ""Hi, I was just wondering if you could
help me out
Um.
my hands are full could you just help me open the door to
my van?""
Victim: ""oh I'm sorry, you see I just broke my
nail and I can't even hold my
keys.
I ..
gotta go.
dumb psycho""
Spider: ""Hmm..
must be your lucky day""
I should of let you be the one that got away
Knew it would happen but I didn`t know it'd be
today
All the voices in my head scream insane
The one that got away
You're the one that got away
Ah you're the one that got away
The one that got away (away, away, away, away,
away)
The one that got away (away, away, away, away,
away)
The one that got away (away, away, away, away,
away)
Voiceover:
Spider: ""Hmm, maybe some other time"""	Rock
1065	en	"Intro:
There is nothing wrong your perception of the reality
Do not attempt to adjust the illusion
We control the harmonics
We control your emotions
We will move you to the left
We will move you to the right
We can reduce the volume to a whisper
Or increase it to a deafening roar
Now is the time to submit quietly
We control all you hear and feel
You are about to enter a great adventure
And experience the odd and mystery
From your ultimate fantasies, to your deepest fears
From which you may never return
Hello! Hello! Hello!
Come on, come on, come over
Hello! Hello! Hello!
Until the storm blows over
Love three times a day, love your life away
Love three times a day, and give yourself a ...
Love three times a day, there ain't no other way
It's in your DNA
And everybody'll know where you end
Goodbye, goodbye, goodbye
There's no need to step over
Goodbye, goodbye, goodbye
Before you do all over
Love three times a day, lock yourself away
Hate yourself and say
And hit yourself ...
Love three times a day, know now everyday
It's in your DNA
A gentleman should ṗlay with a band
It's a single, single, entertain
If you really need to know how to call my name
You can lose your mind, looking for your ...
There's a one kinda know, that's just my style
Kissing downtown men with your ..
smile
Playing it close, kissing lipstick girls,
..
spells
Love three times a day
Lock yourself away
Love three times a day
And get yourself a...
Love three times a day
Ain't no other way
In a matinée
It's time for you to take a stand"	Rock
600	en	"I'm a pistol packin' man
with a gun in my hand
lookin' for a woman that'll understand
I like to roll and I like to ride
I'll stop at nothing never take me alive
I'm a man with a fast hand
lovin' on a last stand
outlaw quick draw
evil talkin' bandit man
in the badlands
in the badlands
I got a 45 that'll make you fry
burn your chassis lassie like the 4th of July
I ride it hard I ride it high
make love to you till you reach for the sky
I'm a man with a fast hand
got it on a last stand
outlaw quick draw
evil talkin' bandit man
in the badlands
in the badlands
in the badlands
in the badlands
well I'm guilty
saddle up my six pack
ain't gonna back track
my shooter loaded
come on girl I'm gonna give you a thrill
in the badlands
in the badlands
in the badlands
in the badlands
in the badlands, looking for a woman
in the badlands, as bad as me
in the badlands, gonna take her with me
in the badlands
yeah"	Rock
4227	en	"You'll never know, unless you try
You're blinded by what
You idolise
I stand alone
Nobody knows
The morning son has rose
He's in my mind
He's in my soul
He's even in my
Rock and roll
I stand alone
Nobody knows
The morning son has rose
I'm here to show
I help you out
It takes a lot of time
I've worked it out
I stand alone
Nobody knows
The morning son has rose
The morning son has rose
The morning son has rose
The morning son has rose
So let it be
And given time
You go your way
And I'll go mine
I stand alone
Nobody knows
The morning son has rose
We'll never know
Unless we try
We're blinded by what
We idolize
We stand alone
Nobody knows
The morning son has rose
The morning son has rose"	Pop
7577	en	"Well she drew out all her money from the Southern Trust
And put her little boy on the Greyhound Bus
Leaving Memphis with a guitar in his hand
With a one way ticket to the Promised Land
Hey little girl with the red dress on
There's party tonight down in Memphis down
I'll be going down there if you need a ride
The man on the radio says Elvis Presley's died
We drove to Memphis the sky was hard and black
Up over the ridge came a white Cadillac
They drawed out all his money and they laid him in the back
A woman cried from the roadside ""Oh he's gone, he's gone""
They found him slumped up against the drain
With a whole lotta trouble running through his veins
Bye bye Johnny
Johnny bye Bye
You didn't have to die
You didn't have to die
(All aboard!
Train I ride...
Sixteen coaches long)
JUST LIKE A WOMAN (Bob Dylan/Bob Dylan)
Nobody feels any pain
Tonight as I stand inside the rain
Everybody knows
That baby has got me closed
But lately I see her ribbons and her bows
Have fallen from her curls
She takes just like a woman, yes she does
She makes love just like a woman, yes she does
And she aches just like a woman
But she breaks just like a little girl
Queen Mary she's my friend
Yes I believe I'll go see her again
Nobody has to guess
That baby can't be blessed
'Till she finally sees
That she's like all the rest
With her fog her amphetamine and her pearls
It was raining from the first
And I was dying there of thirst
So I came in here
And your long time curse hurts
But what's worse
Is this pain in here
I can't stay in here
Ain't it clear that I just can't fit
Yes I believe it's for us to quit
When we meet again introduced as friends
Please don't let on that you knew me when
I was hungry and it was your world
Ah you fake just like a woman, yes you do
You make love just like a woman, yes you do
And you ache just like a woman
But you break just like a little girl."	Rock
77	en	"I give you words of sympathy
But you never end up listening
To what I have to say
You're missing out
And I don't wanna be the one
To always say I told you so
But I told you so
Hey, no, I told you so
You don't wanna save yourself
You only wanna waste what's left
Thinking I could never save you from
The one that you've become
I don't wanna waste my breath
I only wanna take what's left
Now this picture's getting so much clearer
A broken man inside the mirror
I feel like I'm the only one
Left inside this lonely world
And there's no hope for me
I'm missing out
And I don't wanna be the one
That's always on the losing end
But I'm losing it
Yeah, you know, I'm losing it
You don't wanna save yourself
You only wanna waste what's left
Thinking I could never save you from
The one that you've become
I don't wanna waste my breath
I only wanna take what's left
Now this picture's getting so much clearer
A broken man inside the mirror
Save yourself, save yourself
Don't leave me hopeless again
Save yourself, save yourself
Don't leave me hopeless again
You don't wanna save yourself
You only wanna waste what's left
Thinking I could never save you from
The one that you've become
I don't wanna waste my breath
I only wanna take what's left
Now this picture's getting so much clearer
A broken man inside the mirror
Save yourself, save yourself
Save yourself, save yourself"	Rock
7546	en	"I see you walking, baby, down the street
Pushing that baby carriage at your feet
I see the lonely ribbon in your hair
Tell me I am the man for whom you put it there
You never smile girl, you never speak
You just walk on by, darlin' week after week
Raising two kids alone in this mixed up world
Must be a lonely life for a working girl
(Chorus)
Little girl, I wanna marry you
Oh yeah, little girl, I wanna marry you
Yes I do
Little girl, I wanna marry you
Now honey, I don't wanna clip your wings
But a time comes when two people should think of these things
Having a home and a family
Facing up to their responsibilities
They say in the end true love prevails
But in the end true love can't be no fairytale
To say I'll make your dreams come true would be wrong
But maybe, darlin', I could help them along
(Chorus)
My daddy said right before he died
That true, true love was just a lie
He went to his grave a broken heart
An unfulfilled life, makes a man hard
Oh, darlin'
There's something happy and there's something sad
'Bout wanting somebody, oh so bad,
I wear my love darlin', without shame
I'd be proud if you would wear my name."	Rock
2898	en	"Try and think of something colourful for this season
Pull the wool over the gullible for no reason
You are all I have these days, shake it up and run
away
With the night squabbling behind you
From the smoke in your hair to the blood in the bruise
And the bows on the shoes you kicked off
I'm joining the dots
I'm joining the dots
Thought I heard them talking in their sleep yesterday
And I tried but I just can't believe a thing they say
Hurry up they'll be here soon, sleeping in the
afternoon
While the rain's trying to prove a point outside
From the smoke in your hair to the blood in the bruise
And the bows on the shoes you kicked off
I'm joining the dots
I'm joining the dots
Those people make me calm
Can't the flame come up to the moth for a change
And darling if it's all the same to you
I'll have you to myself
I'm joining the dots
I'm joining the dots"	Rock
4820	en	"(This is song two on the album
This is the album right here
Burn the album)
Tonight the city is full of morgues
And all the toilets are overflowing
There's shopping malls coming out of the walls
As we walk out among the manure
That's why
I pay no mind
I pay no mind
I pay no mind
Give the finger to the rock 'n' roll singer
As he's dancing upon your paycheck
The sales climb high through the garbage-pail sky
Like a giant dildo crushing the sun
That's why
I pay no mind
Sleep in slime
I just got signed
So get out your lead-pipe pipe dreams
Get out your ten-foot flags
The insects are huge and the poison's all been used
And the drugs won't kill your day job...honey
That's why
I pay no mind [3x]
That's why
I pay no mind [x7]"	Pop
9667	en	"Times are strange
We've got a free upgrade for snakes on a plane
Fuck em I don't care
Pop the cheap champagne, we're goin' down in flames, hey
Oh! I'm ready for it - come on, bring it!
Oh! I'm ready for it - come on, bring it!
Oh! I'm ready for it - come on, bring it!
Oh! I'm ready for it - come on, bring it!
So kiss me goodbye
Honey I'm gonna make it out alive
So kiss me goodbye
I can see the venom in their eyes
It's time to fly
Tonight the sky's alive
With lizards serpentine
Lounging in their suits and ties
Watch the whore's parade, for the price of fame, hey
Oh! I'm ready for it - come on, bring it!
Oh! I'm ready for it - come on, bring it!
Oh! I'm ready for it - come on, bring it!
Oh! I'm ready for it - come on, bring it!
So kiss me goodbye
Honey I'm gonna make it out alive
So kiss me goodbye
I can see the venom in their eyes
Ladies and gentlemen
These snakes is slitherin'
With dollar signs in their eyes
With tongues so reptilian
This industry's venomous
With cold-blooded sentiments
No need for nervousness
It's just a little turbulence
So kiss me goodbye
Honey I'm gonna make it out alive
So kiss me goodbye
I can see the venom in their eyes
Oh! I'm ready for it - come on, bring it!
Oh! I'm ready for it - come on, bring it!
Oh! I'm ready for it - come on, bring it!
Oh! I'm ready for it - come on, bring it!
We seem to be losing altitude at an alarming pace
From midtown to downtown
Snakes on a blog
I suggest you grab your ankles and kiss your ass goodbye"	Pop
6413	en	"Well, I took me a woman late last night,
I's three-fourths drunk, she looked uptight.
She took off her wheel, took off her bell,
Took off her wig, said, ""How do I smell?""
I hot-footed it 

bare-naked 
.
Out the window!
Well, sometimes I might get drunk,
Walk like a duck and stomp like a skunk.
Don't hurt me none, don't hurt my pride
'Cause I got my little lady right by my side.
(Right there
Proud as can be)
I's out there paintin' on the old woodshed
When a can a black paint it fell on my head.
I went down to scrub and rub
But I had to sit in back of the tub.
(Cost a quarter
And I had to get out quick 
.
Someone wanted to come in and take a sauna)
Well, my telephone rang it would not stop,
It's President Kennedy callin' me up.
He said, ""My friend, Bob, what do we need to make the country grow?""
I said, ""My friend, John, Brigitte Bardot,
Anita Ekberg, Sophia Loren.""
(Put 'em all in the same room with Ernest Borgnine!)
Well, I got a woman sleeps on a cot,
She yells and hollers and squeals a lot.
Licks my face and tickles my ear,
Bends me over and buys me beer.
(She's a honeymooner
A June crooner
A spoon feeder
And a natural leader)
Oh, there ain't no use in me workin' so heavy,
I got a woman who works on the levee.
Pumping that water up to her neck,
Every week she sends me a monthly check.
(She's a humdinger
Folk singer
Dead ringer
For a thing-a-muh jigger)
Late one day in the middle of the week,
Eyes were closed I was half asleep.
I chased me a woman up the hill,
Right in the middle of an air raid drill.
It was Little Bo Peep!
(I jumped a fallout shelter
I jumped a bean stalk
I jumped a ferris wheel)
Now, the man on the stand he wants my vote,
He's a-runnin' for office on the ballot note.
He's out there preachin' in front of the steeple,
Tellin' me he loves all kinds-a people.
(He's eatin' bagels
He's eatin' pizza
He's eatin' chitlins
He's eatin' bullshit!)
Oh, set me down on a television floor,
I'll flip the channel to number four.
Out of the shower comes a grown-up man
With a bottle of hair oil in his hand.
(It's that greasy kid stuff.
What I want to know, Mr
Football Man, is
What do you do about Willy Mays and Yul Brynner,
Charles de Gaulle
And Robert Louis Stevenson?)
Well, the funniest woman I ever seen
Was the great-granddaughter of Mr
Clean.
She takes about fifteen baths a day,
Wants me to grow a cigar on my face.
(She's a little bit heavy!)
Well, ask me why I'm drunk alla time,
It levels my head and eases my mind.
I just walk along and stroll and sing,
I see better days and I do better things.
(I catch dinosaurs
I make love to Elizabeth Taylor 
.
Catch hell from Richard Burton!)."	Rock
8007	en	"This is story about a boy and girl
Trying find a life in the big world
Somehow they're together
There ain't much to the mystery
Misery loves company
She just waves her hand and says whatever
Well this ain't love this ain't love this ain't love at all and he says...
We're not romeo we're not juliet
How long does it take to fill this emptyness
We're just two lost souls and baby we got no regrets
We don't wanna say bye-bye
Babe it's just you and i
We're not romeo we're not juliet
He ain't pretty with his hard old heart
Second generation immigrant scars
And he knows that this ain't heaven - no
She's all skinny like a cigarette
And he's the only thing - the only thing that she respects
And he's trying to make it better
This ain't love this ain't love this ain't love at all
And she says...
We're not romeo we're not juliet
You'd thought you'd seen it all - but you ain't seen nothin' yet
We're just two lost souls and baby we got no regrets
Now it's just you and i
We're nothin' unless we try
We're not romeo - not juliet
It has feel right but it never does
It has to be perfect but it never is
You wanna be sure but you never do
We're not romeo - or juliet - it's just me and you
Ya it's just you and i
We're nothin' unless we try - oh no
We're not romeo - not juliet
No we're not - that's a fact"	Rock
5468	en	"Through sadness you have taught us
To be one with the crowd
Unveil the sacred order, hymns of falling down
You told the greatest stories
Of love and bleeding crowns
But to the sick and hungry
You cannot be found
We are young and we are strong
Through strength in self we become
Something more than they can be
I raise my heart and sing
That I won't believe this lie
I know there's something more inside
When darkness is all you see
This is our sweet blasphemy
Silence the crooked holy, unchain the tied and bound
No time for allegory, one true reigning sound
Unite the lonely mourning, a simple servant now
We are the only glory, hear us screaming loud
We are young and we are strong
I raise my heart and sing! (Oh!)
That I won't believe this lie
I know there's something more inside
When darkness is all you see
This is our sweet blasphemy
(We are young and we are strong
Through strength in self we become
Something more than they can be
This is our sweet blasphemy)
That I won't believe this lie
I know there's something more inside
When darkness is all you see
This is our sweet blasphemy
That I won't believe this lie
I know there's something more inside
When darkness is all you see
This is our sweet blasphemy"	Rock
5951	en	"Boy, May morning suns surround you
(?) and fortune come your way
Oh baby I wrap myself around you
So safe inside you're mine, mine
I'll keep you like a secret
They'll never get it out of me
And I'll bring you a kingdom
Sea to shining sea
Baby I, I can't stand myself without you
Nowhere to hide
You're mine, mine, mine
Boy, you are me, you are mine
I'll build a world to keep you mine, mine
Don't tell me 'bout right and wrong
All I know is you belong to me
And that dreaming believe me I'm just waking up
It's too crazy I just go insane without you
Out of my mind
You're mine, mine, mine
Boy, you are me, you are mine
I'll build a world to keep you mine, mine
Boy, you are me, you are mine
I'll burn the world down round you mine, mine
I'll make (?) pour around you
I'll make magic in your place
Oh baby I wanna wrap myself around you
Lost in your eyes, you're mine, mine, mine
Boy, you are me, you are mine
I'll build a world to keep you mine
Boy, you are me, you are mine
I'll burn the world down round you mine, mine, mine
Boy, you are me, you are mine
I'll burn the world down round you mine, mine"	Pop
3391	en	"An old man turned ninety-eight
He won the lottery and died the next day
It's a black fly in your Chardonnay
It's a death row pardon two minutes too late
Isn't it ironic..
don't you think?
It's like rain on your wedding day
It's a free ride when you've already paid
It's the good advice that you just didn't take
Who would've thought..
it figures
Mr
Play It Safe was afraid to fly
He packed his suitcase and kissed his kids good-bye
He waited his whole damn life to take that flight
And as the plane crashed down he thought
""Well, isn't this nice
""
And isn't it ironic..
don't you think?
It's like rain on your wedding day
It's a free ride when you've already paid
It's the good advice that you just didn't take
Who would've thought..
it figures
Well life has a funny way of sneaking up on you
When you think everything's okay
and everything's going right
And life has a funny way of helping you out when
You think everything's gone wrong and everthing blows up
In your face
A traffic jam when you're already late
A no-smoking sign on your cigarette break
It's like 10, 000 spoons when all you need is a knife
It's meeting the man of my dreams
And then meeting his beautiful wife
And isn't it ironic..
don't you think?
A little too ironic..
and yeah I really do think
It's like rain on your wedding day
It's a free ride when you've already paid
It's the good advice that you just didn't take
Who would've thought..
it figures
Well life has a funny way of sneaking up on you
And life has a funny, funny way of helping you out
Helping you out"	Pop
5415	en	"Those times in life we learn to try,
with one intention
Of learning how and when we'll die, but we can't listen
I wish to God I'd known that I, I didn't stand a chance
Of looking back and knowing why, or pain of circumstance
You're not alone
And we'll brave this storm
So here's my song I wrote in time, when it was
needed
Through pain of heart or loss of mind, your burdens lifted
You aren't alone just know that I, can't save our hearts
tonight
You're not alone
we'll brave this storm
Let's face today
You're not alone
You're not alone
We'll brave this storm
Let's face today
You're not alone"	Rock
2560	en	"what's your name
do you feel the same
up all night
think about our lives
when we're gone
our ghosts live on
so have we tried
have we done our best
to turn the wrong into right
turn the wrong into right
turn the dark into light
we divide
sacrifice our lives
over what we're told
over what they hide
we don't want
to go unsung
give us your faith
cuz it's not too late
to turn the wrong into right
turn the wrong into right
turn the dark into light
light
light
light
and we'll be alright
right
right
right
right
right
right
right"	Pop
