textid	text	label
18	Me devolva, tudo o que eu já te dei Que eu não vou mais, me enganar dessa vez E a resposta, não sou eu quem vai dar O começo, sempre volta do fim Parece estranho, mais pra você que pra mim Agora tudo o que eu tenho, tudo o que eu mais quero é poder te falar Me	Folk
19	Ainda me lembro de tudo que passei Por quanto tempo sentei e esperei Pra hoje ela me dizer que não quer mais. Não sei o que me fez acreditar que eu era o cara certo pra ficar Sempre junto dela	Folk
20	Dá licença mas eu vou entrar Abaixo o som do rádio e vem pra cá Não era a intenção atrapalhar E com certeza espero seu jantar tô pra te ganhar, tô pra perder Tenho que falar, falo pra você Que eu tô	Folk
21	Quantas vezes eu te falei De sonhos que não passam de uma vez É ser mais sincero Pra que dê mais certo Toda vez que a gente quiser. Não estamos assim tão iguais Como eramos há anos atrás Quando a sua vida era toda minha e você não queria parar. Então vem me procurar agora Sem mais pensar O seu amor é meu e o meu amor é seu. Com você eu faço acontecer Tão fácil se perder Com você. Quantas vezes eu te falei De	Folk
22	Faz muito tempo amor que eu tô te esperando E eu já não sei mais o que fazer de mim, Nossos sonhos nossas vidas se acabando, Enquanto você não está aqui Não é difícil saber que eu te quero tanto Cada minuto é mais que um dia sem você O meu amor aumenta a cada instante E eu não consigo esquecer Sem você não dá, não dá pra ficar, porque no meu coração você está (2x) Não é difícil saber	Folk
23	Não vá dizer que eu não sou o que ela sempre sonhou, Ela precisa de alguém, tô precisando também, E ela e eu por um, Somos dois, Se ela quiser eu vou acreditar Refrão: Hey, tem alguém querendo me escutar Hey, tem alguém querendo te falar Hey, tem alguém querendo que você não vá Não vá	Folk
24	Qual é o nome dela? Izabella Eu não vivo sem ela Izabella E quando eu encontro tão sozinho Sem destino e tão vazio Ela vem me salvar, eu sei Ela vem me salvar Ela vem	Folk
25	Mais um dia eu aqui Assim, não dá pra ficar Sem pensar quero seguir, e ao fim chegar em outro lugar Porque tudo o que eu faço Não é o bastante para mim, pra você ou pra ninguém Todo dia eu me deparo Com	Folk
26	Se um dia não for o bastante pra mim baby Você vai ter que se ligar Mil palavras não expressam o que eu sinto Espere aqui que eu vou mostrar. Eu te avisei Quem não quer nada com nada Ás vezes pode se machucar.. [Refrão] Você pra mim agora é problema seu E resolvi dizer que não é mais você.. Sou eu. Nesse momento eu já tô saindo fora Não tenho hora pra voltar Pra	Folk
27	Uma vez me disseram Que o amor não tem limites E por mais longe que você esteja Nada vai mudar entre nós Mas eu sei que não é bem assim Novas pessoas novas mentes entre eu e você Quem sabe um dia a gente se vê por ai Choramos juntos Sorrimos muito mais e o nosso amor Não vai ficar pra trás (2x) Em minha memória	Folk
28	Pela janela do meu quarto eu vejo a chuva Penso em você no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar Já não sei mais aonde procurar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e te fazer feliz Não sabe o que é ter que esquecer Cada minuto cada instante que eu passei com você Pra que dizer que não é feliz? E esconder da sua vida o que você sempre quis Pela janela do meu quarto eu vejo a chuva Penso em você no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não	Folk
29	Pela janela do meu quarto eu vejo a chuva Penso em você no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar já não sei mais onde procurar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e te fazer feliz Não sabe o que é ter que esquecer Cada minuto cada instante que passei com você Pra quê dizer que não é feliz? E esconder da sua vida o que você sempre quis Pela janela do meu quarto eu vejo a chuva Penso em você no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não	Folk
30	Perdida a noite abro a janela após chuva Penso em você e no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar Perco meu tempo querendo te encontrar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e te fazer feliz Não sabe o que é ter que esquecer Cada minuto, cada instante passado com você Pra me dizer que não é feliz E esconder da sua vida o que você sempre quis Perdido a noite abro a janela após a chuva Penso em você e no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar Perco meu tempo querendo te encontrar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e	Folk
31	Espere aqui que eu posso até voltar atrás Não é tão sério só o tempo traz Pra você Tudo o que passou e um pouco mais Daquela história e só você desfaz O caminho que	Folk
32	É claro, ele sabe o que faz Mas ela, não entenderá jamais Pode até pensar que esteja errado Mas tudo leva outro lado Ela não quer seguir, seus passos, Isso não lhe deixa uma escolha fácil, Iê iê É claro, ela sofreu demais Mas ele, não a esqueceu jamais Basta só olhar para o	Folk
33	Parecia estar Numa nova era, Na hora em que você me falou em parar. Sei que onde estou Não é aonde espera. Mas o que eu tinha pra você ninguém supera. E se eu pudesse assim mudar, Jurei que iria até tentar. Se eu não consigo te olhar, Não é por querer. E se às vezes exagero, Olho pra cá e não te enxergo, Não é porque Não queira te ver. Eu não vou ficar Tão perto de perder você, Assim sem me mexer. Eu não acredito que o nosso amor acabou. Parecia entrar numa nova esfera Andando em círculos, Sempre com a mesma ideia, Que	Folk
34	Ela disse que é pra sempre Mas não sei, acho que não Posso até seguir em frente Mas não vou andar na contramão Se um dia eu quis lembrar Ela quis esquecer Até por esse lado poderia entender Queria ir pro mar Ela nem quis saber Tão longe de mim Já sei o que falta Não sei se tem volta Aquela história passou Eu sei o que importa Espero na porta Aonde ela me deixou	Folk
35	Não sei te espero ou vou te buscar Por favor me responda me conte aonde está Eu quero uma chance pra te dizer Que o amor já chegou e está procurando você Eu sei que as coisas não vão tão bem	Folk
36	No seu olhar, um brilho azul do céu Pra mergulhar e me dizer onde errei Aonde estava o seu olhar? Um novo amor, nasceu pra me dizer Voei, corri, mas não te encontrei Aonde estava o seu olhar? Longe, que vem dizendo sinta-me, siga-me Se eu te amarei No seu olhar, eu vi você dizer Me apaixonei, pelo amor	Folk
37	Não ofereço mais que um simples recomeço E faço o presente, voltar pro final No futuro do pretérito, ainda quero o mérito de te ver Sem me preocupar Quem sabe se	Folk
38	De repente você lembou de se esquecer, E não pode acordar e fingir Que não vê, que não vê Que eu queria te ter em minhas mãos e dizer Deixa pra lá que eu vou te levar, pra outro lugar Espera	Folk
39	Eu fechei meus olhos Então acordei em um lugar desconhecido Nada foi melhor Que encontrar você depois de tempos perdidos Mas se tudo acabar Pa pa ra pa pa ra Você iria voltar? O que foi que aconteceu Meus sentimentos mudaram E você não sabia Das promessas que eu deixei pra trás E você não se preocupou Em dizer que não queria mais Dentro de sonhos Eu pude esquecer então ficar com você Nas sua palavras eu cai Olhando pra tudo que eu fiz Mas se	Folk
40	Iê, iê, iê, iê, iê, iê... O quanto ela vai, a noite me distrai Nem tanto só pra mim, de que vale aquele sim Eu bem que te avisei, pra mim tá tudo OK, Agora vem com essa dizer que eu não sei (2x) De	Folk
41	Quer dizer que não tem volta O que é simples dura mais Se sair não fecha a porta, porque eu to indo atrás Quero só ver, deixa eu te ver Que eu to correndo atrás Quero só ver, deixa eu te ver Não aceito não, eu ou com	Folk
42	Hey, você sentado aí Que não sabe onde ir, chega mais Eu, te convido para ir Onde sua mente permitir, chega mais Então não, não diga que	Folk
43	Já entendi, nem começa Com mentira e promessa Que eu não te quero mais Eu quero é parar de pensar E nem vem mais com essa De que agora se importa Não acredito mais Melhor deixar pra trás Eu faço tudo pra tentar esquecer Mas quem eu quero nessa hora pra mim é você Vai saber Se eu vou	Folk
44	dudududunara dudududunara dudududunaraaa (x2) Agora é hora vou mudar O que foi dito, momentos nao voltam mais Agora é hora pra dizer o quanto eu amo o quanto eu quis você Não sei se me quer mais Só o tempo contra o vento que te traz E se não volta mais Você não sabe o que deixou pra trás Não importa aonde vou ou o que farei Se você me da forças eu vou te buscar e você vai me amar Você vai me	Folk
45	O pai dela sai de casa e a gente se diverte. Sexta feira, a noite inteira Quatro e meia da manhã. O pai dela chega em casa, mas a gente se diverte. Perco a hora toda hora embaixo do seu cobertor. Mas quando a noite me distrai E ela não está aqui pra escutar O que eu tinha pra falar... (REFRÃO) Que quando ela vem Meu coração dispara, Vai de zero a	Folk
46	Pela janela do meu quarto eu vejo a chuva Penso em você no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar Já não sei mais aonde procurar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e te fazer feliz Não sabe o que é ter que esquecer Cada minuto cada instante que eu passei com você Pra que dizer que não é feliz? E esconder da sua vida o que você sempre quis Pela janela do meu quarto eu vejo a chuva Penso em você no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não	Folk
47	Parecia estar Numa nova era, Na hora em que você me falou em parar. Sei que onde estou Não é aonde espera. Mas o que eu tinha pra você ninguém supera. E se eu pudesse assim mudar, Jurei que iria até tentar. Se eu não consigo te olhar, Não é por querer. E se às vezes exagero, Olho pra cá e não te enxergo, Não é porque Não queira te ver. Eu não vou ficar Tão perto de perder você, Assim sem me mexer. Eu não acredito que o nosso amor acabou. Parecia entrar numa nova esfera Andando em círculos, Sempre com a mesma ideia, Que	Folk
48	Perdida a noite abro a janela após chuva Penso em você e no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar Perco meu tempo querendo te encontrar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e te fazer feliz Não sabe o que é ter que esquecer Cada minuto, cada instante passado com você Pra me dizer que não é feliz E esconder da sua vida o que você sempre quis Perdido a noite abro a janela após a chuva Penso em você e no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar Perco meu tempo querendo te encontrar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e	Folk
49	Qual é o nome dela? Izabella Eu não vivo sem ela Izabella E quando eu encontro tão sozinho Sem destino e tão vazio Ela vem me salvar, eu sei Ela vem me salvar Ela vem	Folk
50	Ainda me lembro de tudo que passei Por quanto tempo sentei e esperei Pra hoje ela me dizer que não quer mais. Não sei o que me fez acreditar que eu era o cara certo pra ficar Sempre junto dela	Folk
51	Ela disse que é pra sempre Mas não sei, acho que não Posso até seguir em frente Mas não vou andar na contramão Se um dia eu quis lembrar Ela quis esquecer Até por esse lado poderia entender Queria ir pro mar Ela nem quis saber Tão longe de mim Já sei o que falta Não sei se tem volta Aquela história passou Eu sei o que importa Espero na porta Aonde ela me deixou	Folk
52	No seu olhar, um brilho azul do céu Pra mergulhar e me dizer onde errei Aonde estava o seu olhar? Um novo amor, nasceu pra me dizer Voei, corri, mas não te encontrei Aonde estava o seu olhar? Longe, que vem dizendo sinta-me, siga-me Se eu te amarei No seu olhar, eu vi você dizer Me apaixonei, pelo amor	Folk
53	dudududunara dudududunara dudududunaraaa (x2) Agora é hora vou mudar O que foi dito, momentos nao voltam mais Agora é hora pra dizer o quanto eu amo o quanto eu quis você Não sei se me quer mais Só o tempo contra o vento que te traz E se não volta mais Você não sabe o que deixou pra trás Não importa aonde vou ou o que farei Se você me da forças eu vou te buscar e você vai me amar Você vai me	Folk
54	Me devolva, tudo o que eu já te dei Que eu não vou mais, me enganar dessa vez E a resposta, não sou eu quem vai dar O começo, sempre volta do fim Parece estranho, mais pra você que pra mim Agora tudo o que eu tenho, tudo o que eu mais quero é poder te falar Me	Folk
55	Mais um dia eu aqui Assim, não dá pra ficar Sem pensar quero seguir, e ao fim chegar em outro lugar Porque tudo o que eu faço Não é o bastante para mim, pra você ou pra ninguém Todo dia eu me deparo Com	Folk
56	Dá licença mas eu vou entrar Abaixo o som do rádio e vem pra cá Não era a intenção atrapalhar E com certeza espero seu jantar tô pra te ganhar, tô pra perder Tenho que falar, falo pra você Que eu tô	Folk
57	Não vá dizer que eu não sou o que ela sempre sonhou, Ela precisa de alguém, tô precisando também, E ela e eu por um, Somos dois, Se ela quiser eu vou acreditar Refrão: Hey, tem alguém querendo me escutar Hey, tem alguém querendo te falar Hey, tem alguém querendo que você não vá Não vá	Folk
58	Se um dia não for o bastante pra mim baby Você vai ter que se ligar Mil palavras não expressam o que eu sinto Espere aqui que eu vou mostrar. Eu te avisei Quem não quer nada com nada Ás vezes pode se machucar.. [Refrão] Você pra mim agora é problema seu E resolvi dizer que não é mais você.. Sou eu. Nesse momento eu já tô saindo fora Não tenho hora pra voltar Pra	Folk
59	Quantas vezes eu te falei De sonhos que não passam de uma vez É ser mais sincero Pra que dê mais certo Toda vez que a gente quiser. Não estamos assim tão iguais Como eramos há anos atrás Quando a sua vida era toda minha e você não queria parar. Então vem me procurar agora Sem mais pensar O seu amor é meu e o meu amor é seu. Com você eu faço acontecer Tão fácil se perder Com você. Quantas vezes eu te falei De	Folk
60	Faz muito tempo amor que eu tô te esperando E eu já não sei mais o que fazer de mim, Nossos sonhos nossas vidas se acabando, Enquanto você não está aqui Não é difícil saber que eu te quero tanto Cada minuto é mais que um dia sem você O meu amor aumenta a cada instante E eu não consigo esquecer Sem você não dá, não dá pra ficar, porque no meu coração você está (2x) Não é difícil saber	Folk
61	Uma vez me disseram Que o amor não tem limites E por mais longe que você esteja Nada vai mudar entre nós Mas eu sei que não é bem assim Novas pessoas novas mentes entre eu e você Quem sabe um dia a gente se vê por ai Choramos juntos Sorrimos muito mais e o nosso amor Não vai ficar pra trás (2x) Em minha memória	Folk
62	Me devolva, tudo o que eu já te dei Que eu não vou mais, me enganar dessa vez E a resposta, não sou eu quem vai dar O começo, sempre volta do fim Parece estranho, mais pra você que pra mim Agora tudo o que eu tenho, tudo o que eu mais quero é poder te falar Me	Folk
63	Ainda me lembro de tudo que passei Por quanto tempo sentei e esperei Pra hoje ela me dizer que não quer mais. Não sei o que me fez acreditar que eu era o cara certo pra ficar Sempre junto dela	Folk
64	Dá licença mas eu vou entrar Abaixo o som do rádio e vem pra cá Não era a intenção atrapalhar E com certeza espero seu jantar tô pra te ganhar, tô pra perder Tenho que falar, falo pra você Que eu tô	Folk
65	Quantas vezes eu te falei De sonhos que não passam de uma vez É ser mais sincero Pra que dê mais certo Toda vez que a gente quiser. Não estamos assim tão iguais Como eramos há anos atrás Quando a sua vida era toda minha e você não queria parar. Então vem me procurar agora Sem mais pensar O seu amor é meu e o meu amor é seu. Com você eu faço acontecer Tão fácil se perder Com você. Quantas vezes eu te falei De	Folk
66	Faz muito tempo amor que eu tô te esperando E eu já não sei mais o que fazer de mim, Nossos sonhos nossas vidas se acabando, Enquanto você não está aqui Não é difícil saber que eu te quero tanto Cada minuto é mais que um dia sem você O meu amor aumenta a cada instante E eu não consigo esquecer Sem você não dá, não dá pra ficar, porque no meu coração você está (2x) Não é difícil saber	Folk
67	Não vá dizer que eu não sou o que ela sempre sonhou, Ela precisa de alguém, tô precisando também, E ela e eu por um, Somos dois, Se ela quiser eu vou acreditar Refrão: Hey, tem alguém querendo me escutar Hey, tem alguém querendo te falar Hey, tem alguém querendo que você não vá Não vá	Folk
68	Qual é o nome dela? Izabella Eu não vivo sem ela Izabella E quando eu encontro tão sozinho Sem destino e tão vazio Ela vem me salvar, eu sei Ela vem me salvar Ela vem	Folk
69	Mais um dia eu aqui Assim, não dá pra ficar Sem pensar quero seguir, e ao fim chegar em outro lugar Porque tudo o que eu faço Não é o bastante para mim, pra você ou pra ninguém Todo dia eu me deparo Com	Folk
70	Se um dia não for o bastante pra mim baby Você vai ter que se ligar Mil palavras não expressam o que eu sinto Espere aqui que eu vou mostrar. Eu te avisei Quem não quer nada com nada Ás vezes pode se machucar.. [Refrão] Você pra mim agora é problema seu E resolvi dizer que não é mais você.. Sou eu. Nesse momento eu já tô saindo fora Não tenho hora pra voltar Pra	Folk
71	Uma vez me disseram Que o amor não tem limites E por mais longe que você esteja Nada vai mudar entre nós Mas eu sei que não é bem assim Novas pessoas novas mentes entre eu e você Quem sabe um dia a gente se vê por ai Choramos juntos Sorrimos muito mais e o nosso amor Não vai ficar pra trás (2x) Em minha memória	Folk
72	Pela janela do meu quarto eu vejo a chuva Penso em você no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar Já não sei mais aonde procurar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e te fazer feliz Não sabe o que é ter que esquecer Cada minuto cada instante que eu passei com você Pra que dizer que não é feliz? E esconder da sua vida o que você sempre quis Pela janela do meu quarto eu vejo a chuva Penso em você no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não	Folk
73	Pela janela do meu quarto eu vejo a chuva Penso em você no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar já não sei mais onde procurar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e te fazer feliz Não sabe o que é ter que esquecer Cada minuto cada instante que passei com você Pra quê dizer que não é feliz? E esconder da sua vida o que você sempre quis Pela janela do meu quarto eu vejo a chuva Penso em você no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não	Folk
74	Perdida a noite abro a janela após chuva Penso em você e no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar Perco meu tempo querendo te encontrar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e te fazer feliz Não sabe o que é ter que esquecer Cada minuto, cada instante passado com você Pra me dizer que não é feliz E esconder da sua vida o que você sempre quis Perdido a noite abro a janela após a chuva Penso em você e no meu amor que nunca muda Espero o dia inteiro e você não vem Amor igual ao meu não vai ter de ninguém E nas esquinas escuras de qualquer lugar Perco meu tempo querendo te encontrar Pra te dizer as coisas que eu sempre quis Te roubar pra mim e	Folk
75	Espere aqui que eu posso até voltar atrás Não é tão sério só o tempo traz Pra você Tudo o que passou e um pouco mais Daquela história e só você desfaz O caminho que	Folk
76	É claro, ele sabe o que faz Mas ela, não entenderá jamais Pode até pensar que esteja errado Mas tudo leva outro lado Ela não quer seguir, seus passos, Isso não lhe deixa uma escolha fácil, Iê iê É claro, ela sofreu demais Mas ele, não a esqueceu jamais Basta só olhar para o	Folk
77	Parecia estar Numa nova era, Na hora em que você me falou em parar. Sei que onde estou Não é aonde espera. Mas o que eu tinha pra você ninguém supera. E se eu pudesse assim mudar, Jurei que iria até tentar. Se eu não consigo te olhar, Não é por querer. E se às vezes exagero, Olho pra cá e não te enxergo, Não é porque Não queira te ver. Eu não vou ficar Tão perto de perder você, Assim sem me mexer. Eu não acredito que o nosso amor acabou. Parecia entrar numa nova esfera Andando em círculos, Sempre com a mesma ideia, Que	Folk
78	Ela disse que é pra sempre Mas não sei, acho que não Posso até seguir em frente Mas não vou andar na contramão Se um dia eu quis lembrar Ela quis esquecer Até por esse lado poderia entender Queria ir pro mar Ela nem quis saber Tão longe de mim Já sei o que falta Não sei se tem volta Aquela história passou Eu sei o que importa Espero na porta Aonde ela me deixou	Folk
79	Não sei te espero ou vou te buscar Por favor me responda me conte aonde está Eu quero uma chance pra te dizer Que o amor já chegou e está procurando você Eu sei que as coisas não vão tão bem	Folk
80	No seu olhar, um brilho azul do céu Pra mergulhar e me dizer onde errei Aonde estava o seu olhar? Um novo amor, nasceu pra me dizer Voei, corri, mas não te encontrei Aonde estava o seu olhar? Longe, que vem dizendo sinta-me, siga-me Se eu te amarei No seu olhar, eu vi você dizer Me apaixonei, pelo amor	Folk
81	Não ofereço mais que um simples recomeço E faço o presente, voltar pro final No futuro do pretérito, ainda quero o mérito de te ver Sem me preocupar Quem sabe se	Folk
82	De repente você lembou de se esquecer, E não pode acordar e fingir Que não vê, que não vê Que eu queria te ter em minhas mãos e dizer Deixa pra lá que eu vou te levar, pra outro lugar Espera	Folk
83	Eu fechei meus olhos Então acordei em um lugar desconhecido Nada foi melhor Que encontrar você depois de tempos perdidos Mas se tudo acabar Pa pa ra pa pa ra Você iria voltar? O que foi que aconteceu Meus sentimentos mudaram E você não sabia Das promessas que eu deixei pra trás E você não se preocupou Em dizer que não queria mais Dentro de sonhos Eu pude esquecer então ficar com você Nas sua palavras eu cai Olhando pra tudo que eu fiz Mas se	Folk
84	Iê, iê, iê, iê, iê, iê... O quanto ela vai, a noite me distrai Nem tanto só pra mim, de que vale aquele sim Eu bem que te avisei, pra mim tá tudo OK, Agora vem com essa dizer que eu não sei (2x) De	Folk
85	Quer dizer que não tem volta O que é simples dura mais Se sair não fecha a porta, porque eu to indo atrás Quero só ver, deixa eu te ver Que eu to correndo atrás Quero só ver, deixa eu te ver Não aceito não, eu ou com	Folk
86	Hey, você sentado aí Que não sabe onde ir, chega mais Eu, te convido para ir Onde sua mente permitir, chega mais Então não, não diga que	Folk
87	Já entendi, nem começa Com mentira e promessa Que eu não te quero mais Eu quero é parar de pensar E nem vem mais com essa De que agora se importa Não acredito mais Melhor deixar pra trás Eu faço tudo pra tentar esquecer Mas quem eu quero nessa hora pra mim é você Vai saber Se eu vou	Folk
88	dudududunara dudududunara dudududunaraaa (x2) Agora é hora vou mudar O que foi dito, momentos nao voltam mais Agora é hora pra dizer o quanto eu amo o quanto eu quis você Não sei se me quer mais Só o tempo contra o vento que te traz E se não volta mais Você não sabe o que deixou pra trás Não importa aonde vou ou o que farei Se você me da forças eu vou te buscar e você vai me amar Você vai me	Folk
89	O pai dela sai de casa e a gente se diverte. Sexta feira, a noite inteira Quatro e meia da manhã. O pai dela chega em casa, mas a gente se diverte. Perco a hora toda hora embaixo do seu cobertor. Mas quando a noite me distrai E ela não está aqui pra escutar O que eu tinha pra falar... (REFRÃO) Que quando ela vem Meu coração dispara, Vai de zero a	Folk
